Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$249,933",Once Upon A Time,Well Go USA Entertainment,"August 3, 2017 (China)",,1 hr 49 min,Adventure Drama Fantasy Romance,"Bai Qian is a Queen who lives in a Peach Blossom forest. Suffering from memory loss, she is invited to a party where she encounters people who recognize her. Her lover, Ye Hua had been searching for her, and now he must win her love back.","['Liu Yifei', 'Yang Yang', 'Xingxu Chen', 'Marissa Cohen']","['Anthony LaMolinara', 'Xiaoding Zhao', 'Shane Comley-White', 'Qi Tang', 'Qi Tang', 'Chen Gao', 'Zhilei Sa', 'Xiaoding Zhao']"
,Paradox,,"August 17, 2017 (China)",,1 hr 41 min,Action Adventure Crime Thriller,A tough Hong Kong cop's 16 y.o. daughter disappears in Pattaya. He goes to Thailand to find her and must deal with corrupt cops but an honest one helps him track down culprits involved in illegal organ trafficking.,"['Louis Koo', 'Yue Wu', 'Ka-Tung Lam', 'Chris Collins']","['Wilson Yip', 'Nick Cheuk', 'Lai-Yin Leung', 'Soi Cheang', 'Paco Wong', 'Ken Chan', 'Kwong Wing Chan', 'Kenny Tse', 'Hoi Wong', 'Kwok-Keung Mak']"
"$364,437",Lady Bird,A24,"November 3, 2017 (Domestic)",R,1 hr 34 min,Comedy Drama,"In 2002, an artistically inclined 17-year-old girl comes of age in Sacramento, California.","['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges']","['Greta Gerwig', 'Greta Gerwig', 'Eli Bush', ""Evelyn O'Neill"", 'Scott Rudin', 'Jon Brion', 'Sam Levy', 'Nick Houy', 'Chris Jones']"
,Fantastica: A Boonie Bears Adventure,,"January 28, 2017 (China)",,1 hr 29 min,Action Adventure Animation Comedy Family,Boonie bears and Bald Qiang work together with secret primitive girl to smash a conspiracy to destroy old-growth forest.,"['Mario Lopez', 'Josh Peck', 'Joseph S. Lambert', 'Hanna Allsaar']","['Leon Ding', 'Huida Lin', 'Yongchang Lin', 'Leon Ding', 'Qin Wan', 'Rachel Xu', 'Victor Elizalde', 'Ning Lin', 'Daisy Shang', 'Dan Yang']"
"$8,342,311",The Nut Job 2: Nutty by Nature,Open Road Films (II),"August 10, 2017 (APAC, EMEA)",PG,1 hr 31 min,,A group of squirrels try to stop a mayor from destroying the park where they live to make way for a dysfunctional amusement park.,"['Will Arnett', 'Maya Rudolph', 'Bobby Cannavale', 'Bobby Moynihan']","['Cal Brunker', 'Scott Bindley', 'Cal Brunker', 'Bob Barlen', 'Peter Lepeniotis', 'Bob Barlen', 'Jong Han Kim', 'Jongsoo Kim', 'Sunghwan Kim', 'Youngki Lee', 'Harry Linden', 'Lili Ma', 'Heitor Pereira', 'Paul Hunter']"
"$14,846,778",American Assassin,Lionsgate Films,"September 13, 2017 (EMEA, APAC)",R,1 hr 51 min,,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.","[""Dylan O'Brien"", 'Michael Keaton', 'Sanaa Lathan', 'Taylor Kitsch']","['Michael Cuesta', 'Stephen Schiff', 'Michael Finch', 'Edward Zwick', 'Marshall Herskovitz', 'Vince Flynn', 'Lorenzo di Bonaventura', 'Nick Wechsler', 'Steven Price', 'Enrique Chediak', 'Conrad Buff IV', 'Andrew Laws']"
"$158,845",Victoria & Abdul,Focus Features,"September 13, 2017 (Egypt)",PG-13,1 hr 51 min,Biography Comedy Drama History,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,"['Judi Dench', 'Ali Fazal', 'Tim Pigott-Smith', 'Eddie Izzard']","['Stephen Frears', 'Lee Hall', 'Shrabani Basu', 'Tim Bevan', 'Eric Fellner', 'Beeban Kidron', 'Tracey Seaward', 'Thomas Newman', 'Danny Cohen', 'Melanie Oliver', 'Alan Macdonald']"
,Suck Me Shakespeer 3,,"October 26, 2017 (Germany)",,2 hr,Comedy,A bank robber becomes a teacher after being released from prison and finds himself at the center of a number of crazy adventures.,"[""Elyas M'Barek"", 'Jella Haase', 'Sandra Hüller', 'Katja Riemann']","['Bora Dagtekin', 'Bora Dagtekin', 'Nicole Springstubbe', 'Djorkaeff', 'Vincent Stein', 'Markus Nestroy', 'Charles Ladmiral', 'Constantin von Seld', 'Eva Stiebler']"
,Detective Conan: Crimson Love Letter,,"April 15, 2017 (Japan)",,1 hr 52 min,Action Adventure Animation Crime Family Mystery Thriller,"A bombing case at Nichiuri TV in autumn. The Satsuki Cup, which crowns the winner of Japan's Hyakunin Isshu, is currently being filmed inside the facility. The incident results in a big commotion and, while the building is burning to ashes, the only people left inside are Hattori and Toyama Kazuha . They get rescued just in time by Conan , who rushes to the scene. Both the identity and purposes of the bomber are unknown. While confusion takes over due to the explosion, Conan meets a mysterious beautiful girl who claims she is ""Heiji's fiancée"". Her name is Momiji Ooka and she is the Kyoto High School champion of karuta game. As fate would have it, Kazuha is going to face Momiji in the Hyakunin Isshu, so she begins to train with the help of Heiji's mother, Shizuoka ,who is a skilled Karuta player. At the same time, in a Japanese house in Arashiyama Kyoto's outskirts, the reigning Satsuki Cup champion is murdered. Pictures of the crime scene reveal Momji's presence. Additionally, several Karuta cards were spread around the victim. Conan and Heiji, along with the Osaka and Kyoto police departments, begin their investigation on the Satsuki Cup and the related murder case. As the inquiry goes on, they come across a secret connected with the Hyakunin Isshu.","['Cristina Valenzuela', 'Erika Harlacher', 'Erica Mendez', 'Ryan Bartley']","['Kôbun Shizuno', 'Gôshô Aoyama', ""Jun'ichi Iioka"", 'Takahiro Ôkura', 'Keiichi Ishiyama', 'Shûhô Kondô', 'Sam Maseba', 'Eric P. Sherman', 'Isato Yonekura', 'Katsuo Ôno', 'Hitoshi Nishiyama', 'Terumitsu Okada']"
"$10,551,336",The Mountain Between Us,Twentieth Century Fox,"October 4, 2017 (Jamaica)",PG-13,1 hr 52 min,,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.","['Kate Winslet', 'Idris Elba', 'Beau Bridges', 'Dermot Mulroney']","['Hany Abu-Assad', 'Chris Weitz', 'J. Mills Goodloe', 'Charles Martin', 'Peter Chernin', 'Dylan Clark', 'David Ready', 'Jenno Topping', 'Ramin Djawadi', 'Mandy Walker', 'Lee Percy', 'Patrice Vermette']"
"$9,812,674",The Star,Sony Pictures Releasing,"November 15, 2017 (France)",PG,1 hr 26 min,,A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.,"['Steven Yeun', 'Keegan-Michael Key', 'Aidy Bryant', 'Gina Rodriguez']","['Timothy Reckart', 'Carlos Kotkin', 'Simon Moore', 'Carlos Kotkin', 'Jennifer Magee-Cook', 'John Paesano', 'Pam Ziegenhagen', 'Craig Elliott']"
"$12,252,439",How to Be a Latin Lover,Pantelion Films,"April 27, 2017 (Slovenia)",PG-13,1 hr 55 min,Comedy Drama,"Finding himself dumped after twenty-five years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family.","['Eugenio Derbez', 'Salma Hayek', 'Raphael Alejandro', 'Rob Lowe']","['Ken Marino', 'Jon Zack', 'Chris Spain', 'Eugenio Derbez', 'Ben Odell', 'Craig Wedren', 'John Bailey', 'John Daigle', 'Marcia Hinds']"
"$11,205,561",47 Meters Down,Entertainment Studios Motion Pictures,"May 25, 2017 (Italy)",PG-13,1 hr 29 min,,"Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.","['Mandy Moore', 'Claire Holt', 'Matthew Modine', 'Chris Johnson']","['Johannes Roberts', 'Johannes Roberts', 'Ernest Riera', 'James Harris', 'Mark Lane', 'tomandandy', 'Mark Silk', 'Martin Brinkler', 'David Bryan']"
"$11,727,390","Everything, Everything",Warner Bros.,"May 18, 2017 (United Arab Emirates)",PG-13,1 hr 36 min,,A teenager who's spent her whole life confined to her home falls for the boy next door.,"['Amandla Stenberg', 'Nick Robinson', 'Anika Noni Rose', 'Ana de la Reguera']","['Stella Meghie', 'J. Mills Goodloe', 'Nicola Yoon', 'Elysa Koplovitz Dutton', 'Leslie Morgenstein', 'Ludwig Göransson', 'Igor Jadue-Lillo', 'Nancy Richardson', 'Charisse Cardenas']"
