Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
128,Champions,"$19,159,065","$16,397,335",85.6%,"$2,761,730",14.4%,2023
129,Retribution,"$18,685,751","$6,937,696",37.1%,"$11,748,055",62.9%,2023
130,Next Goal Wins,"$18,648,802","$6,713,826",36%,"$11,934,976",64%,2023
131,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$18,638,991",-,-,"$18,638,991",100%,2023
132,Love Reset,"$18,425,272",-,-,"$18,425,272",100%,2023
133,The Blackening,"$18,169,453","$17,707,207",97.5%,"$462,246",2.5%,2023
134,About My Father,"$18,167,819","$12,089,391",66.5%,"$6,078,428",33.5%,2023
135,Mavka: The Forest Song,"$17,897,054",-,-,"$17,897,054",100%,2023
136,The Birth of Kitaro: Mystery of GeGeGe,"$17,842,454",-,-,"$17,842,454",100%,2023
137,The Blind,"$17,265,487","$17,265,487",100%,-,-,2023
138,Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,-,"$17,216,567",100%,2023
139,Hypnotic,"$16,281,937","$4,500,169",27.6%,"$11,781,768",72.4%,2023
140,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%,2023
141,Die drei ??? - Erbe des Drachen,"$15,860,016",-,-,"$15,860,016",100%,2023
142,Shin Kamen Rider,"$15,835,414",-,-,"$15,835,414",100%,2023
143,Joy Ride,"$15,787,674","$12,897,789",81.7%,"$2,889,885",18.3%,2023
144,Dunki,"$15,473,051","$7,460,159",48.2%,"$8,012,892",51.8%,2023
145,Tonde Saitama: Biwako Yori Ai o Komete,"$15,107,891",-,-,"$15,107,891",100%,2023
146,Only 3 Days Left,"$14,985,705",-,-,"$14,985,705",100%,2023
147,Open Season,"$14,961,612",-,-,"$14,961,612",100%,2023
148,A Guilty Conscience,"$14,906,537",-,-,"$14,906,537",100%,2023
149,Epic Tails,"$14,854,710","$355,088",2.4%,"$14,499,622",97.6%,2023
150,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$14,584,970",-,-,"$14,584,970",100%,2023
151,Dr. Cheon and Lost Talisman,"$14,574,445","$84,362",0.6%,"$14,490,083",99.4%,2023
152,Sisu,"$14,281,199","$7,265,622",50.9%,"$7,015,577",49.1%,2023
153,Rehragout-Rendezvous,"$14,127,069",-,-,"$14,127,069",100%,2023
154,Ocho apellidos marroquís,"$13,931,031",-,-,"$13,931,031",100%,2023
155,His Only Son,"$13,817,186","$12,392,740",89.7%,"$1,424,446",10.3%,2023
156,Jeanne du Barry,"$13,793,476",-,-,"$13,793,476",100%,2023
157,The Point Men,"$13,433,834",-,-,"$13,433,834",100%,2023
158,"Manta, Manta: Legacy","$13,078,126",-,-,"$13,078,126",100%,2023
159,Bottoms,"$12,966,048","$12,036,071",92.8%,"$929,977",7.2%,2023
160,Championext,"$12,877,645",-,-,"$12,877,645",100%,2023
161,Love Again,"$12,696,584","$6,230,837",49.1%,"$6,465,747",50.9%,2023
162,Three heroes and the Navel of the Earth,"$12,597,251",-,-,"$12,597,251",100%,2023
163,The Shift,"$12,234,979","$12,118,219",99%,"$116,760",1%,2023
164,Salaar,"$11,958,548","$8,929,282",74.7%,"$3,029,266",25.3%,2023
165,Beau Is Afraid,"$11,955,354","$8,176,562",68.4%,"$3,778,792",31.6%,2023
166,After Death,"$11,794,504","$11,478,326",97.3%,"$316,178",2.7%,2023
167,Tiger 3,"$11,713,932","$5,365,263",45.8%,"$6,348,669",54.2%,2023
168,Face Off 6: The Ticket of Destiny,"$11,538,081",-,-,"$11,538,081",100%,2023
169,Dream Scenario,"$11,346,096","$5,742,193",50.6%,"$5,603,903",49.4%,2023
170,Jungle Bunch: Operation Meltdown,"$11,315,228","$831,200",7.3%,"$10,484,028",92.7%,2023
171,Silent Night,"$11,067,228","$8,012,103",72.4%,"$3,055,125",27.6%,2023
172,What's Love Got to Do with It?,"$11,065,050",-,-,"$11,065,050",100%,2023
173,Sleep,"$10,967,729",-,-,"$10,967,729",100%,2023
174,Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,-,"$10,876,188",100%,2023
175,Honey Sweet,"$10,765,835",-,-,"$10,765,835",100%,2023
176,The Machine,"$10,664,328","$10,458,331",98.1%,"$205,997",1.9%,2023
177,After Everything,"$10,644,463",-,-,"$10,644,463",100%,2023
178,The Nightmare Before Christmas 30th Anniversary Re-Release,"$10,431,631","$10,251,956",98.3%,"$179,675",1.7%,2023
179,The Crime Is Mine,"$10,370,510","$109,112",1.1%,"$10,261,398",98.9%,2023
180,Freelance,"$10,212,160","$5,314,136",52%,"$4,898,024",48%,2023
181,Les Segpa au ski,"$10,203,901",-,-,"$10,203,901",100%,2023
182,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%,2023
183,The Peasants,"$9,999,223","$155,188",1.6%,"$9,844,035",98.4%,2023
184,The Great Escaper,"$9,760,235",-,-,"$9,760,235",100%,2023
185,The Lord of the Rings: The Return of the King 2023 Re-release (20th Anniversary),"$9,736,432","$1,176,085",12.1%,"$8,560,347",87.9%,2023
186,Talk to Her Undated France Release,"$9,550,733",-,-,"$9,549,770",100%,2023
187,Rafadan Tayfa 4: Hayrimatör,"$9,546,067",-,-,"$9,546,067",100%,2023
188,The Braid,"$9,408,857",-,-,"$9,408,857",100%,2023
189,Kandahar,"$9,387,311","$4,813,132",51.3%,"$4,574,179",48.7%,2023
190,House Party,"$9,285,747","$9,002,247",96.9%,"$283,500",3.1%,2023
191,All Your Faces,"$9,056,053",-,-,"$9,056,053",100%,2023
192,The Animal Kingdom,"$8,938,787","$11,767",0.1%,"$8,927,020",99.9%,2023
193,The Wandering Earth II,"$8,854,786","$5,023,132",56.7%,"$3,831,654",43.3%,2023
194,Cats in the Museum,"$8,771,831",-,-,"$8,771,831",100%,2023
195,Father & Soldier,"$8,598,322",-,-,"$8,598,322",100%,2023
196,PreCure All Stars F,"$8,519,569",-,-,"$8,519,569",100%,2023
197,Dream,"$8,317,251",-,-,"$8,317,251",100%,2023
198,Vacaciones de verano,"$8,209,854",-,-,"$8,209,854",100%,2023
199,On the Wandering Paths,"$8,186,415",-,-,"$8,186,415",100%,2023
200,Weekend Rebels,"$8,184,539",-,-,"$8,184,539",100%,2023
,,,,,,,2023
Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%,"$1,636,174,514",70.5%,2022
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%,"$776,963,471",51.9%,2022
3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%,2022
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%,2022
5,Minions: The Rise of Gru,"$940,203,765","$370,270,765",39.4%,"$569,933,000",60.6%,2022
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%,2022
7,The Batman,"$772,245,583","$369,345,583",47.8%,"$402,900,000",52.2%,2022
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%,2022
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%,2022
10,Puss in Boots: The Last Wish,"$481,705,474","$186,090,535",38.6%,"$295,614,939",61.4%,2022
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%,2022
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%,2022
13,Uncharted,"$407,141,258","$148,648,820",36.5%,"$258,492,438",63.5%,2022
14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%,2022
15,Black Adam,"$393,452,111","$168,152,111",42.7%,"$225,300,000",57.3%,2022
16,Elvis,"$287,740,048","$151,040,048",52.5%,"$136,700,000",47.5%,2022
17,The Bad Guys,"$250,387,888","$97,459,240",38.9%,"$152,928,648",61.1%,2022
18,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%,2022
19,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%,2022
20,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%,2022
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%,2022
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%,2022
23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%,"$113,900,000",54.9%,2022
24,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%,2022
25,M3GAN,"$180,089,109","$95,159,005",52.8%,"$84,930,104",47.2%,2022
26,One Piece Film: Red,"$171,319,579","$12,775,324",7.5%,"$158,544,255",92.5%,2022
27,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%,2022
28,Ticket to Paradise,"$168,770,985","$68,275,985",40.5%,"$100,495,000",59.5%,2022
29,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%,2022
30,RRR,"$165,955,146","$14,500,000",8.7%,"$151,455,146",91.3%,2022
31,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%,2022
32,The First Slam Dunk,"$152,918,859","$1,291,869",0.8%,"$151,626,990",99.2%,2022
33,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%,"$54,123,205",37.5%,2022
34,Everything Everywhere All at Once,"$139,405,704","$77,191,785",55.4%,"$62,213,919",44.6%,2022
35,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%,2022
36,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%,2022
37,Suzume,"$132,181,655","$10,932,037",8.3%,"$121,249,618",91.7%,2022
38,A Man Called Otto,"$113,190,218","$64,267,657",56.8%,"$48,922,561",43.2%,2022
39,"Lyle, Lyle, Crocodile","$110,999,085","$46,888,441",42.2%,"$64,110,644",57.8%,2022
40,Halloween Ends,"$104,374,176","$64,079,860",61.4%,"$40,294,316",38.6%,2022
41,The Roundup,"$101,166,707","$812,859",0.8%,"$100,353,848",99.2%,2022
42,The Woman King,"$97,562,514","$67,328,130",69%,"$30,234,384",31%,2022
43,Downton Abbey: A New Era,"$92,651,384","$44,141,550",47.6%,"$48,509,834",52.4%,2022
44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%,2022
45,Don't Worry Darling,"$87,609,403","$45,309,403",51.7%,"$42,300,000",48.3%,2022
46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%,2022
47,Dog,"$84,485,461","$61,778,069",73.1%,"$22,707,392",26.9%,2022
48,Jackass Forever,"$80,563,999","$57,743,451",71.7%,"$22,820,548",28.3%,2022
49,The Menu,"$79,628,200","$38,501,125",48.4%,"$41,127,075",51.6%,2022
50,Chebi: My Fluffy Friend,"$77,609,926",-,-,"$77,609,926",100%,2022
51,Avatar 2022 Re-release,"$76,012,917","$24,714,024",32.5%,"$51,298,893",67.5%,2022
52,Violent Night,"$76,004,405","$50,057,405",65.9%,"$25,947,000",34.1%,2022
53,Strange World,"$73,621,640","$37,968,963",51.6%,"$35,652,677",48.4%,2022
54,Detective Conan: The Bride of Halloween,"$72,699,093",-,-,"$72,699,093",100%,2022
55,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%,2022
56,Moonfall,"$67,319,703","$19,060,660",28.3%,"$48,234,703",71.7%,2022
57,Babylon,"$63,562,440","$15,351,455",24.2%,"$48,210,985",75.8%,2022
58,Whitney Houston: I Wanna Dance with Somebody,"$59,806,881","$23,708,080",39.6%,"$36,098,801",60.4%,2022
59,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%,2022
60,The Whale,"$57,615,635","$17,463,630",30.3%,"$39,563,064",68.7%,2022
61,Hansan: Rising Dragon,"$57,490,985","$865,888",1.5%,"$56,625,097",98.5%,2022
62,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%,2022
63,Ambulance,"$52,303,589","$22,781,115",43.6%,"$29,522,474",56.4%,2022
64,Marry Me,"$50,541,093","$22,438,180",44.4%,"$28,102,913",55.6%,2022
65,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%,2022
66,The Banshees of Inisherin,"$49,262,687","$10,582,266",21.5%,"$38,680,421",78.5%,2022
67,The Fabelmans,"$45,647,323","$17,348,945",38%,"$28,298,378",62%,2022
68,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%,2022
69,Prey for the Devil,"$44,658,929","$19,802,293",44.3%,"$24,856,636",55.7%,2022
70,Paws of Fury: The Legend of Hank,"$42,431,358","$17,811,382",42%,"$24,619,976",58%,2022
71,The Invitation,"$38,036,130","$25,100,080",66%,"$12,936,050",34%,2022
72,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%,2022
73,Matilda: The Musical,"$35,617,120",-,-,"$35,617,120",100%,2022
74,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%,2022
75,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%,2022
76,Skyfall 2021 Re-release,"$33,943,406",-,-,"$33,910,282",99.9%,2022
77,Hunt,"$33,821,338","$25,994",<0.1%,"$33,795,344",99.9%,2022
78,Tad the Lost Explorer and the Emerald Tablet,"$32,849,430","$67,599",0.2%,"$32,781,831",99.8%,2022
79,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%,2022
80,Shin Ultraman,"$32,137,136","$601,490",1.9%,"$31,535,646",98.1%,2022
81,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%,2022
82,Mrs. Harris Goes to Paris,"$30,947,403","$10,433,915",33.7%,"$20,513,488",66.3%,2022
83,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%,2022
84,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%,2022
85,Tár,"$29,048,571","$6,773,650",23.3%,"$22,274,921",76.7%,2022
86,Serial (Bad) Weddings 3,"$27,832,384",-,-,"$27,832,384",100%,2022
87,The 355,"$27,827,745","$14,570,455",52.4%,"$13,257,290",47.6%,2022
88,The Night Owl,"$26,719,364",-,-,"$26,719,364",100%,2022
89,Triangle of Sadness,"$26,214,659","$4,608,096",17.6%,"$21,606,563",82.4%,2022
90,Calendar Girls,"$25,433,615",-,-,"$25,433,615",100%,2022
91,The Last 10 Years,"$25,427,013",-,-,"$25,427,013",100%,2022
92,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%,2022
93,Hero,"$24,392,492",-,-,"$24,392,492",100%,2022
94,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%,2022
95,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%,2022
96,Decision to Leave,"$22,581,906","$2,179,864",9.7%,"$20,402,042",90.3%,2022
97,6/45,"$22,263,336",-,-,"$22,263,336",100%,2022
98,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%,2022
99,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%,2022
100,Ponniyin Selvan: Part I,"$21,888,295","$4,282,000",19.6%,"$17,606,295",80.4%,2022
101,Monster,"$21,874,381","$434,585",2%,"$21,439,796",98%,2022
102,Devotion,"$21,768,133","$20,511,938",94.2%,"$1,256,195",5.8%,2022
103,Silent Parade,"$21,723,595",-,-,"$21,723,595",100%,2022
104,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%,2022
105,Turning Red,"$21,521,622","$1,399,001",6.5%,"$20,122,621",93.5%,2022
106,Emergency Declaration,"$21,400,327","$412,196",1.9%,"$20,988,131",98.1%,2022
107,The Amazing Maurice,"$21,115,581","$4,303,645",20.4%,"$16,811,936",79.6%,2022
108,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$20,617,005",-,-,"$20,617,005",100%,2022
109,Three Thousand Years of Longing,"$20,282,422","$8,286,741",40.9%,"$11,995,681",59.1%,2022
110,School of Magical Animals 2,"$19,678,845",-,-,"$19,678,845",100%,2022
111,After Ever Happy,"$19,238,073","$1,072,750",5.6%,"$18,165,323",94.4%,2022
112,Simone: Woman of the Century,"$19,167,164",-,-,"$19,167,164",100%,2022
113,Beast,"$18,911,959",-,-,"$18,911,959",100%,2022
114,Broker,"$18,851,416","$1,046,899",5.6%,"$17,804,517",94.4%,2022
115,Godfather,"$18,737,287",-,-,"$18,737,287",100%,2022
116,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%,2022
117,November,"$18,200,422",-,-,"$18,200,422",100%,2022
118,Fragments of the Last Will,"$17,954,691",-,-,"$17,954,691",100%,2022
119,The Quintessential Quintuplets Movie,"$17,506,171","$502,000",2.9%,"$17,004,171",97.1%,2022
120,Fall,"$17,363,261","$7,240,521",41.7%,"$10,122,740",58.3%,2022
121,Even If This Love Disappears from the World Tonight,"$16,848,229",-,-,"$16,848,229",100%,2022
122,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%,2022
123,Father There Is Only One 3,"$16,401,315",-,-,"$16,401,315",100%,2022
124,Dr. Coto's Clinic,"$16,062,841",-,-,"$16,062,841",100%,2022
125,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%,2022
126,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%,2022
127,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%,2022
128,Maison de retraite,"$15,570,823",-,-,"$15,570,823",100%,2022
129,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$15,569,229",-,-,"$15,569,229",100%,2022
130,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%,2022
131,Bones and All,"$15,234,907","$7,834,907",51.4%,"$7,400,000",48.6%,2022
132,Terrifier 2,"$15,065,239","$10,640,105",70.6%,"$4,425,134",29.4%,2022
133,Firestarter,"$15,039,250","$9,739,250",64.8%,"$5,300,000",35.2%,2022
134,The Wolf of Wall Street 2022 Re-release,"$15,038,738",-,-,"$14,877,539",98.9%,2022
135,Bros,"$14,781,867","$11,628,165",78.7%,"$3,153,702",21.3%,2022
136,Superwho?,"$14,770,359",-,-,"$14,770,359",100%,2022
137,X,"$14,740,889","$11,765,309",79.8%,"$2,975,580",20.2%,2022
138,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%,"$67,524",0.5%,2022
139,The Duke,"$14,233,027","$1,526,970",10.7%,"$12,700,247",89.2%,2022
140,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%,2022
141,She Said,"$13,944,212","$5,825,995",41.8%,"$8,118,217",58.2%,2022
142,Bodies Bodies Bodies,"$13,929,670","$11,446,602",82.2%,"$2,483,068",17.8%,2022
143,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%,2022
144,The Legend of Maula Jatt,"$13,842,815","$5,016,493",36.2%,"$8,826,322",63.8%,2022
145,Glass Onion,"$13,280,000","$13,280,000",100%,-,-,2022
146,Valimai,"$13,276,393",-,-,"$13,276,393",100%,2022
147,Moonage Daydream,"$13,095,781","$4,218,925",32.2%,"$8,876,856",67.8%,2022
148,Easter Sunday,"$13,074,255","$13,013,690",99.5%,"$60,565",0.5%,2022
149,Living,"$12,377,310","$3,038,113",24.5%,"$9,339,197",75.5%,2022
150,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%,2022
151,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%,2022
152,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%,2022
153,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$11,631,738","$1,588,491",13.7%,"$10,043,247",86.3%,2022
154,Till,"$11,498,884","$9,000,202",78.3%,"$2,498,682",21.7%,2022
155,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%,2022
156,Empire of Light,"$11,395,604","$1,177,577",10.3%,"$10,218,027",89.7%,2022
157,The Eight Mountains,"$11,374,178","$302,456",2.7%,"$11,071,722",97.3%,2022
158,Bergen,"$11,325,405",-,-,"$11,325,405",100%,2022
159,Rise,"$11,252,331",-,-,"$11,252,331",100%,2022
160,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%,2022
161,Chickenhare and the Hamster of Darkness,"$10,885,116",-,-,"$10,885,116",100%,2022
162,Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%,2022
163,Jurassic Park 2022 Re-release,"$10,380,250",-,-,"$10,374,018",99.9%,2022
164,Land of Legends,"$10,357,479",-,-,"$10,357,479",100%,2022
165,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%,2022
166,Vaillante,"$10,143,170",-,-,"$10,143,170",100%,2022
167,Table for Six,"$10,138,355",-,-,"$10,138,355",100%,2022
168,The Beasts,"$10,067,896","$46,105",0.5%,"$10,021,791",99.5%,2022
169,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%,2022
170,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%,2022
171,"Good Luck to You, Leo Grande","$9,795,364",-,-,"$9,795,364",100%,2022
172,Pearl,"$9,747,742","$9,423,445",96.7%,"$324,297",3.3%,2022
173,Rheingold,"$9,701,300",-,-,"$9,701,300",100%,2022
174,Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%,2022
175,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%,2022
176,Women Talking,"$9,276,103","$5,456,531",58.8%,"$3,819,572",41.2%,2022
177,Sword Art Online the Movie: Progressive - Scherzo of Deep Night,"$9,071,701",-,-,"$9,071,701",100%,2022
178,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%,2022
179,Aftersun,"$8,459,155","$1,658,790",19.6%,"$6,800,365",80.4%,2022
180,Life Is Beautiful,"$8,458,639",-,-,"$8,458,639",100%,2022
181,Yolki 9,"$8,385,030",-,-,"$8,385,030",100%,2022
182,Don,"$8,287,406",-,-,"$8,287,406",100%,2022
183,Shotgun Wedding,"$8,277,788",-,-,"$8,277,788",100%,2022
184,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%,2022
185,Re/Member,"$8,166,175",-,-,"$8,166,175",100%,2022
186,Rabbit Academy: Mission Eggpossible,"$8,066,669",-,-,"$8,066,669",100%,2022
187,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%,2022
188,Il grande giorno,"$8,021,940",-,-,"$8,021,940",100%,2022
189,The Tatta's,"$8,000,956",-,-,"$8,000,956",100%,2022
190,Ducobu 4 President,"$7,858,171",-,-,"$7,858,171",100%,2022
191,Phases of the Moon,"$7,564,756",-,-,"$7,564,756",100%,2022
192,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%,2022
193,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%,2022
194,Finnick,"$7,368,268",-,-,"$7,368,268",100%,2022
195,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%,2022
196,Family Affairs,"$7,330,755",-,-,"$7,330,755",100%,2022
197,Listy do M. 5,"$7,328,061",-,-,"$7,328,061",100%,2022
198,Laid-Back Camp Movie,"$7,317,913",-,-,"$7,317,913",100%,2022
199,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%,2022
200,The New Toy,"$7,295,051",-,-,"$7,295,051",100%,2022
,,,,,,,2022
Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Spider-Man: No Way Home,"$1,912,233,593","$804,793,477",42.1%,"$1,107,440,116",57.9%,2021
2,The Battle at Lake Changjin,"$902,548,476","$342,411",<0.1%,"$902,206,065",100%,2021
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%,2021
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%,2021
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%,2021
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%,2021
7,Venom: Let There Be Carnage,"$506,863,592","$213,550,366",42.1%,"$293,313,226",57.9%,2021
8,Godzilla vs. Kong,"$470,116,094","$100,916,094",21.5%,"$369,200,000",78.5%,2021
9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%,2021
10,Sing 2,"$408,402,685","$162,790,990",39.9%,"$245,611,695",60.1%,2021
11,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%,2021
12,Dune,"$402,027,830","$108,327,830",26.9%,"$293,700,000",73.1%,2021
13,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%,2021
14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%,2021
15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%,2021
16,Encanto,"$256,786,742","$96,093,622",37.4%,"$160,693,120",62.6%,2021
17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%,2021
18,"My Country, My Parents","$221,831,086","$177,133",<0.1%,"$221,653,953",99.9%,2021
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%,2021
20,The Conjuring: The Devil Made Me Do It,"$206,431,050","$65,631,050",31.8%,"$140,800,000",68.2%,2021
21,Raging Fire,"$205,842,393","$385,305",0.2%,"$205,457,088",99.8%,2021
22,Ghostbusters: Afterlife,"$204,334,455","$129,360,575",63.3%,"$74,973,880",36.7%,2021
23,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%,2021
24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%,2021
25,The Suicide Squad,"$168,717,425","$55,817,425",33.1%,"$112,900,000",66.9%,2021
26,Jujutsu Kaisen 0,"$166,760,828","$34,542,754",20.7%,"$132,218,074",79.3%,2021
27,Space Jam: A New Legacy,"$163,692,228","$70,592,228",43.1%,"$93,100,000",56.9%,2021
28,The Matrix Resurrections,"$157,386,805","$37,686,805",23.9%,"$119,700,000",76.1%,2021
29,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%,2021
30,House of Gucci,"$153,269,161","$53,809,574",35.1%,"$99,459,587",64.9%,2021
31,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%,2021
32,The Boss Baby 2: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%,2021
33,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%,2021
34,Tom & Jerry,"$136,536,687","$46,536,687",34.1%,"$90,000,000",65.9%,2021
35,Be Somebody,"$132,326,332",-,-,"$132,326,332",100%,2021
36,Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%,2021
37,Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%,2021
38,Sister,"$128,317,206",-,-,"$128,317,206",100%,2021
39,The King's Man,"$125,897,478","$37,176,373",29.5%,"$88,721,105",70.5%,2021
40,The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%,2021
41,My Love,"$116,720,921","$86,252",<0.1%,"$116,634,669",99.9%,2021
42,Clifford the Big Red Dog,"$107,347,356","$48,947,356",45.6%,"$58,400,000",54.4%,2021
43,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%,2021
