Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$11,441,733",The Jungle Book 2,Walt Disney Studios Motion Pictures,"February 5, 2003 (France)",,1 hr 12 min,Adventure Animation Comedy Family Music Musical,"Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.","['John Goodman', 'Haley Joel Osment', 'Tony Jay', 'Mae Whitman']","['Steve Trenbirth', 'Karl Geurs', 'Carter Crocker', 'Evan Spiliotopoulos', 'David Reynolds', 'Roger S.H. Schulman', 'Tom Rogers', 'Rudyard Kipling', 'Christopher Chase', 'Mary Thorne', 'Steve Harwell', 'Joel McNeely', 'Christopher K. Gee', 'Peter Lonsdale']"
"$38,329,160",The Cat in the Hat,Universal Pictures,"November 21, 2003 (Domestic)",PG,1 hr 22 min,,Two bored children have their lives turned upside down when a talking cat comes to visit them.,"['Mike Myers', 'Spencer Breslin', 'Dakota Fanning', 'Alec Baldwin']","['Bo Welch', 'Dr. Seuss', 'Alec Berg', 'David Mandel', 'Jeff Schaffer', 'Brian Grazer', 'David Newman', 'Emmanuel Lubezki', 'Don Zimmerman', 'Alex McDowell']"
"$19,622,714",School of Rock,Paramount Pictures,"October 3, 2003 (Domestic)",PG-13,1 hr 49 min,,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.","['Jack Black', 'Mike White', 'Joan Cusack', 'Adam Pascal']","['Richard Linklater', 'Mike White', 'Scott Rudin', 'Craig Wedren', 'Rogier Stoffers', 'Sandra Adair', 'Jeremy Conway']"
"$22,220,670","Legally Blonde 2: Red, White & Blonde",Metro-Goldwyn-Mayer (MGM),"July 2, 2003 (Domestic)",PG-13,1 hr 35 min,,"Elle Woods heads to Washington, D.C. to join the staff of a Representative in order to pass a bill to ban animal testing.","['Reese Witherspoon', 'Sally Field', 'Bob Newhart', 'Regina King']","['Charles Herman-Wurmfeld', 'Amanda Brown', 'Eve Ahlert', 'Dennis Drake', 'Kate Kondell', 'Kate Kondell', 'David Nicksay', 'Marc Platt', 'Rolfe Kent', 'Elliot Davis', 'Peter Teschner', 'Missy Stewart']"
"$207,377",Big Fish,Sony Pictures Releasing,"December 10, 2003 (Domestic)",PG-13,2 hr 5 min,,A frustrated son tries to determine the fact from fiction in his dying father's life.,"['Ewan McGregor', 'Albert Finney', 'Billy Crudup', 'Jessica Lange']","['Tim Burton', 'Daniel Wallace', 'John August', 'Bruce Cohen', 'Dan Jinks', 'Richard D. Zanuck', 'Danny Elfman', 'Philippe Rousselot', 'Chris Lebenzon', 'Dennis Gassner']"
"$11,139,495",Peter Pan,Universal Pictures,"December 18, 2003 (Australia)",PG,1 hr 53 min,,"The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.","['Jeremy Sumpter', 'Jason Isaacs', 'Olivia Williams', 'Lynn Redgrave']","['P.J. Hogan', 'J.M. Barrie', 'P.J. Hogan', 'Michael Goldenberg', 'Lucy Fisher', 'Patrick McCormick', 'Douglas Wick', 'James Newton Howard', 'Donald McAlpine', 'Garth Craven', 'Michael Kahn', 'Roger Ford']"
"$12,525,075",Intolerable Cruelty,Universal Pictures,"October 10, 2003 (Domestic)",PG-13,1 hr 40 min,Comedy Crime Romance,"Miles, a high-profile divorce lawyer, wins a case for his rich but adulterous client Rex Rexroth. But Rex's ex-wife, Marylin, who is no saint and is a gold-digger, plots to take revenge on Miles.","['George Clooney', 'Catherine Zeta-Jones', 'Billy Bob Thornton', 'Geoffrey Rush']","['Joel Coen', 'Ethan Coen', 'Robert Ramsey', 'Matthew Stone', 'John Romano', 'Robert Ramsey', 'Matthew Stone', 'Ethan Coen', 'Joel Coen', 'Ethan Coen', 'Brian Grazer', 'Carter Burwell', 'Roger Deakins', 'Ethan Coen', 'Joel Coen', 'Leslie McDonald']"
"$925,087",Lost in Translation,Focus Features,"September 12, 2003 (Domestic)",R,1 hr 42 min,,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris']","['Sofia Coppola', 'Sofia Coppola', 'Sofia Coppola', 'Ross Katz', 'Kevin Shields', 'Lance Acord', 'Sarah Flack', 'K.K. Barrett', 'Anne Ross']"
"$36,400,000",Freddy vs. Jason,New Line Cinema,"August 14, 2003 (Puerto Rico)",R,1 hr 37 min,,"Freddy Krueger and Jason Voorhees return to terrorize the teenagers of Elm Street. Only this time, they're out to get each other, too.","['Robert Englund', 'Ken Kirzinger', 'Kelly Rowland', 'Monica Keena']","['Ronny Yu', 'Wes Craven', 'Victor Miller', 'Damian Shannon', 'Mark Swift', 'Sean S. Cunningham', 'Graeme Revell', 'Fred Murphy', 'Mark Stevens', 'John Willett']"
"$29,100,000",The Texas Chainsaw Massacre,New Line Cinema,"October 17, 2003 (Domestic)",R,1 hr 38 min,,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers.","['Jessica Biel', 'Jonathan Tucker', 'Andrew Bryniarski', 'Erica Leerhsen']","['Marcus Nispel', 'Kim Henkel', 'Tobe Hooper', 'Scott Kosar', 'Michael Bay', 'Mike Fleiss', 'Steve Jablonsky', 'Daniel Pearl', 'Glen Scantlebury', 'Greg Blair', 'Frank Marano']"
